City_ID,City,Lat,Lng,Max Temp (C),Humidity,Cloudiness,Wind Speed,Country,Date
0,Nhulunbuy,-12.2333,136.7667,26.34,94,100,3.6,AU,1676213908
1,Vostok,46.4856,135.8833,-18.89,99,96,2.27,RU,1676213908
2,Saint Paul Harbor,57.79,-152.4072,-2.27,69,20,5.97,US,1676213910
3,Tuatapere,-46.1333,167.6833,12.08,94,99,1.36,NZ,1676213910
4,Coquimbo,-29.9533,-71.3436,18.85,82,100,4.12,CL,1676213911
5,Hilo,19.7297,-155.09,19.6,96,100,4.63,US,1676213911
6,Bandarbeyla,9.4942,50.8122,24.71,69,0,7.28,SO,1676213912
7,Warri,5.5167,5.75,38.93,20,14,2.45,NG,1676213912
8,Busselton,-33.65,115.3333,17.95,66,0,6.38,AU,1676213512
9,Kaitangata,-46.2817,169.8464,11.6,95,24,1.65,NZ,1676213913
10,Hūn,29.1268,15.9477,15.07,48,79,2.93,LY,1676213913
11,Bengkulu,-3.8004,102.2655,24.6,84,99,2.48,ID,1676213914
12,Linköping,58.4109,15.6216,6.21,85,20,5.66,SE,1676213834
13,Milton,34.1322,-84.3007,5.96,93,100,0.45,US,1676213915
14,Zhigansk,66.7697,123.3711,-37.85,98,23,4.81,RU,1676213915
15,Vaini,-21.2,-175.2,26.09,94,75,2.57,TO,1676213916
16,Puerto Ayora,-0.7393,-90.3518,27.98,88,16,1.79,EC,1676213916
17,Dunedin,-45.8742,170.5036,14.89,77,19,4.04,NZ,1676213916
18,Maltahöhe,-24.8333,16.9833,33.02,7,0,7.82,NA,1676213917
19,Fortuna,40.5982,-124.1573,4.96,97,100,4.12,US,1676213917
20,Barrow,71.2906,-156.7887,-27.99,76,40,5.66,US,1676213918
21,Hermanus,-34.4187,19.2345,25.45,76,55,4.57,ZA,1676213358
22,Bambous Virieux,-20.3428,57.7575,28.14,65,40,4.12,MU,1676213918
23,Morón,-34.6534,-58.6198,37.2,42,5,5.21,AR,1676213919
24,Solton,52.8429,86.4787,-10.16,97,100,0.84,RU,1676213919
25,Saint-Philippe,-21.3585,55.7679,27.77,78,60,4.5,RE,1676213920
26,Albany,42.6001,-73.9662,3.46,70,98,0.45,US,1676213720
27,Kita,13.0349,-9.4895,40.17,5,8,3.12,ML,1676213921
28,Laguna,38.421,-121.4238,8.9,85,0,2.06,US,1676213921
29,Pontianak,-0.0333,109.3333,22.99,100,75,1.54,ID,1676213921
30,Acapulco de Juárez,16.8634,-99.8901,26.39,58,1,0.96,MX,1676213922
31,Longyearbyen,78.2186,15.6401,-2.09,59,75,11.83,SJ,1676213922
32,Rikitea,-23.1203,-134.9692,24.93,74,91,0.9,PF,1676213923
33,Arraial do Cabo,-22.9661,-42.0278,29.98,78,75,4.12,BR,1676213923
34,Avarua,-21.2078,-159.775,25.03,94,20,1.03,CK,1676213923
35,Jamestown,42.097,-79.2353,3.08,82,0,2.57,US,1676213811
36,Ushuaia,-54.8,-68.3,8.81,66,20,2.57,AR,1676213924
37,Muisne,0.6,-80.0333,25.79,82,99,1.77,EC,1676213924
38,Santa Vitória do Palmar,-33.5189,-53.3681,32.52,29,37,2.91,BR,1676213495
39,Punta Arenas,-53.15,-70.9167,8.06,61,40,8.23,CL,1676213925
40,Souris,49.6172,-100.2612,-6.26,86,69,6.06,CA,1676213926
41,Buraidah,26.326,43.975,21.25,22,77,7.51,SA,1676213926
42,Keti Bandar,24.1447,67.4497,25.09,28,0,2.75,PK,1676213926
43,Bubaque,11.2833,-15.8333,25.69,51,5,3.49,GW,1676213927
44,San Fernando,15.0286,120.6898,25.85,83,3,1.58,PH,1676213927
45,Pinan,58.68,11.6463,6.39,76,100,5.1,SE,1676213928
46,San Javier,37.8063,-0.8374,14.76,65,56,6.26,ES,1676213928
47,Broome,42.2506,-75.833,2.6,67,0,3.09,US,1676213929
48,Tuktoyaktuk,69.4541,-133.0374,-37.0,67,0,1.03,CA,1676213930
49,Khuldābād,20.05,75.1833,21.56,27,0,3.1,IN,1676213932
50,Bredasdorp,-34.5322,20.0403,26.53,54,0,7.57,ZA,1676213820
51,Ponta do Sol,32.6667,-17.1,20.0,72,100,2.93,PT,1676213933
52,Vardø,70.3705,31.1107,-3.01,93,100,8.23,NO,1676213933
53,Bathsheba,13.2167,-59.5167,27.34,65,75,8.23,BB,1676213933
54,Ukiah,39.1502,-123.2078,9.09,91,0,0.0,US,1676213934
55,Rio de Janeiro,-22.9028,-43.2075,30.97,75,75,2.57,BR,1676213842
56,Talnakh,69.4865,88.3972,-12.87,92,100,8.13,RU,1676213934
57,Avera,33.194,-82.5271,7.73,87,100,2.32,US,1676213935
58,Kapaa,22.0752,-159.319,23.18,75,75,6.69,US,1676213935
59,Ribeira Grande,38.5167,-28.7,15.22,63,40,7.6,PT,1676213936
60,Yanam,16.7333,82.2167,21.84,87,12,1.07,IN,1676213936
61,Vao,-22.6667,167.4833,24.78,63,0,9.42,NC,1676213937
62,Lázaro Cárdenas,17.9583,-102.2,25.63,46,0,1.1,MX,1676213937
63,Etchojoa,26.9167,-109.6333,18.11,52,100,2.89,MX,1676213938
64,Cairo Montenotte,44.4031,8.2746,16.83,72,0,1.2,IT,1676213811
65,Blagodatnoye,45.3997,42.5867,1.51,91,100,3.62,RU,1676213938
66,Berdigestyakh,62.0989,126.6992,-26.39,98,100,2.36,RU,1676213939
67,Cabo San Lucas,22.8909,-109.9124,19.94,45,88,4.66,MX,1676213939
68,Airai,-8.9266,125.4092,15.5,95,100,1.14,TL,1676213940
69,Bluff,-46.6,168.3333,14.29,88,41,2.07,NZ,1676213941
70,Leh,34.1667,77.5833,-19.64,77,2,1.87,IN,1676213941
71,Longkou,37.6508,120.3286,0.86,69,100,11.11,CN,1676213942
72,Yellowknife,62.456,-114.3525,-20.71,84,75,2.06,CA,1676213942
73,Atuona,-9.8,-139.0333,25.88,75,4,7.45,PF,1676213943
74,Malindi,-3.2175,40.1191,29.09,65,20,5.14,KE,1676213943
75,Sola,-13.8833,167.55,28.04,77,100,8.79,VU,1676213943
76,Esperance,-33.8667,121.9,16.8,71,3,5.98,AU,1676213944
77,Batemans Bay,-35.7167,150.1833,18.94,79,100,2.82,AU,1676213944
78,Upernavik,72.7868,-56.1549,-26.04,91,100,1.18,GL,1676213720
79,Bilma,18.6853,12.9164,28.64,13,4,8.07,NE,1676213945
80,Cape Town,-33.9258,18.4232,27.93,64,20,8.23,ZA,1676213945
81,Jacksonville,30.3322,-81.6556,15.05,84,100,8.75,US,1676213681
82,Port Alfred,-33.5906,26.891,23.43,88,29,3.13,ZA,1676213946
83,Broken Hill,-31.95,141.4333,20.29,29,69,5.99,AU,1676213947
84,Chokurdakh,70.6333,147.9167,-32.72,94,100,1.76,RU,1676213947
85,Libreville,0.3925,9.4537,31.01,70,20,3.6,GA,1676213948
86,Ancud,-41.8697,-73.8203,13.98,86,100,1.72,CL,1676213948
87,Mataura,-46.1927,168.8643,11.29,99,69,0.44,NZ,1676213949
88,Saskylakh,71.9167,114.0833,-39.92,97,35,3.71,RU,1676213949
89,Cidreira,-30.1811,-50.2056,27.18,61,0,4.59,BR,1676213949
90,Riyadh,24.6877,46.7219,28.08,21,100,2.89,SA,1676213950
91,Chui,-33.6971,-53.4616,33.33,29,20,3.32,UY,1676213950
92,Buala,-8.145,159.5921,26.7,82,100,2.49,SB,1676213951
93,George Town,5.4112,100.3354,27.96,89,20,1.03,MY,1676213866
94,Crossville,35.949,-85.0269,1.77,95,100,3.09,US,1676213952
95,Muravlenko,63.7898,74.523,-14.42,94,89,8.59,RU,1676213954
96,Caravelas,-17.7125,-39.2481,29.65,59,99,3.75,BR,1676213954
97,Inuvik,68.3499,-133.7218,-31.52,72,75,2.06,CA,1676213955
